location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Sunshine Duration,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,°C,min,mm,cm,%,%,km/h,°
level,2 m elevation corrected,700 mb,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [700 mb],Basel Sunshine Duration,Basel Precipitation Total,Basel Snowfall Amount,Basel Relative Humidity [2 m],Basel Cloud Cover Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220105T1600,4.6505284,-16.38,53.939396,0.0,0.0,54.0,10.0,22.065973,275.61758
20220105T1700,4.3105288,-16.21,53.939396,0.0,0.0,56.0,10.0,21.288757,273.87854
20220105T1800,3.2905285,-16.4,55.183334,0.0,0.0,62.0,0.0,16.575644,272.48956
20220105T1900,2.6905286,-16.19,0.0,0.0,0.0,66.0,10.0,14.917212,261.67435
20220105T2000,1.8405286,-15.84,0.0,0.0,0.0,72.0,59.0,14.345898,252.47443
20220105T2100,2.1805286,-15.96,0.0,0.0,0.0,72.0,100.0,16.299694,263.65982
20220105T2200,2.4005284,-15.42,0.0,0.0,0.0,73.0,100.0,20.211363,265.91437
20220105T2300,2.2005286,-15.47,0.0,0.0,0.0,78.0,100.0,21.602999,269.04517
20220106T0000,2.1605287,-15.25,0.0,0.0,0.0,81.0,100.0,19.134262,274.31604
20220106T0100,2.1705287,-15.18,0.0,0.0,0.0,82.0,100.0,16.700275,277.4314
20220106T0200,2.0005286,-15.24,0.0,0.0,0.0,82.0,100.0,15.546833,275.31454
20220106T0300,1.8105286,-15.23,0.0,0.0,0.0,84.0,100.0,15.496736,272.66302
20220106T0400,1.5405287,-15.38,0.0,0.0,0.0,85.0,100.0,19.083395,271.08093
20220106T0500,1.2905287,-15.59,0.0,0.0,0.0,85.0,100.0,20.880001,270.0
20220106T0600,1.0505286,-15.86,0.0,0.0,0.0,88.0,100.0,22.366402,273.6914
20220106T0700,0.8905287,-16.15,0.0,0.3,0.21000001,90.0,100.0,25.40743,277.32642
20220106T0800,0.92052865,-16.38,0.0,0.2,0.14,89.0,100.0,25.721743,276.42877
20220106T0900,0.9405287,-16.79,0.0,0.1,0.07,88.0,100.0,26.525429,277.8002
20220106T1000,1.1505287,-17.21,0.0,0.1,0.07,87.0,100.0,25.509243,278.9306
20220106T1100,1.6105287,-17.15,0.0,0.0,0.0,83.0,100.0,25.40743,277.32642
20220106T1200,2.4705286,-16.9,0.0,0.0,0.0,79.0,100.0,24.216522,281.14288
20220106T1300,3.1505284,-16.47,32.121212,0.0,0.0,74.0,46.0,22.19773,278.39294
20220106T1400,3.6105285,-13.99,10.909091,0.0,0.0,76.0,81.0,9.659814,333.43497
20220106T1500,4.2205286,-13.83,30.303032,0.0,0.0,72.0,49.0,9.659814,333.43497
20220106T1600,4.3305287,-13.51,59.393936,0.0,0.0,70.0,1.0,11.841756,340.46335
20220106T1700,4.1505284,-12.98,53.939396,0.0,0.0,70.0,10.0,12.413476,343.1416
20220106T1800,3.2305286,-12.24,56.35,0.0,0.0,75.0,0.0,8.209263,344.74487
20220106T1900,2.6205285,-11.58,0.0,0.0,0.0,78.0,0.0,4.68,360.0
20220106T2000,1.8705287,-10.88,0.0,0.0,0.0,81.0,0.0,3.8268526,41.18593
20220106T2100,1.3905287,-10.42,0.0,0.0,0.0,82.0,0.0,2.0991426,239.03624
20220106T2200,1.5505286,-9.9,0.0,0.0,0.0,82.0,0.0,4.8965297,233.97263
20220106T2300,1.5905286,-9.59,0.0,0.0,0.0,82.0,0.0,4.39436,214.99202
20220107T0000,-0.009471342,-9.52,0.0,0.0,0.0,84.0,0.0,6.151683,200.55605
20220107T0100,-0.6694713,-9.22,0.0,0.0,0.0,82.0,0.0,5.937272,194.03624
20220107T0200,-0.7494713,-8.81,0.0,0.0,0.0,83.0,6.0,4.1046314,195.25513
20220107T0300,-0.70947134,-8.68,0.0,0.0,0.0,82.0,8.400001,3.6179552,174.28941
20220107T0400,-0.6194713,-8.85,0.0,0.0,0.0,83.0,7.5000005,2.5455842,135.0
20220107T0500,-0.68947136,-9.07,0.0,0.0,0.0,85.0,100.0,2.8116899,129.80557
20220107T0600,-0.32947135,-9.57,0.0,0.0,0.0,82.0,100.0,1.9386592,158.1986
20220107T0700,-0.43947133,-9.68,0.0,0.0,0.0,83.0,100.0,0.5091169,225.0
20220107T0800,-0.6094713,-9.9,0.0,0.0,0.0,84.0,90.0,3.319036,229.39871
20220107T0900,-0.32947135,-10.27,0.0,0.0,0.0,81.0,93.0,6.1305785,229.76364
20220107T1000,1.2305287,-10.46,17.792929,0.0,0.0,73.0,60.0,10.464797,243.43495
20220107T1100,2.5105286,-11.62,0.0,0.0,0.0,67.0,100.0,21.2522,243.869
20220107T1200,3.5205286,-11.79,0.0,0.0,0.0,60.0,100.0,27.155552,255.41107
20220107T1300,4.0705285,-12.07,0.0,0.0,0.0,58.0,100.0,26.141552,247.31944
